id	filename	md5	size	state
0a2fdcec-904b-4015-91bb-71e689af12a1	b033c85a-2395-4ced-a84d-ac1fbce674bf.htseq.counts.gz	94329d30370fa8c288a51fb08b04fb36	255274	live
0e4012bd-a44b-4bfb-a02a-7a0a8483fc8b	59325a83-799e-4f38-aa82-a26b34e7e563.htseq.counts.gz	d492a1ed2f069f5dfb380a739532a9ca	249370	live
0fc7aebe-343b-4572-bd5d-ad7d5f0c5816	7f08d0f0-7b1b-4ef0-a3ba-4bc12097a0bb.htseq.counts.gz	70913fcec99a025ebcc937d49fda03a6	248710	live
0fd54066-f760-4f88-b616-b85f3f6599cf	8f446b76-1d90-4ae6-9f05-db1a0e441ce0.htseq.counts.gz	c93819e1b6e48c939f8ab981093e34d6	249974	live
24856edc-df30-4377-ae5e-32db616ad8c6	70a755a4-250e-4b5c-a341-a63f1ff430ae.htseq.counts.gz	b7b6118b66150c0ed77c13d8de71e4d4	256391	live
3230e77c-6340-4620-8555-dd66209f1eba	02939ecf-77d0-49fc-a04b-8fd5334b44da.htseq.counts.gz	279f82625d5bf7ba27c9a7edf6bffbd8	255449	live
3e1e0a0e-e72b-4c7c-b96f-714f0b89424b	5fa88a87-e100-4fc5-bc26-995ad8191c8f.htseq.counts.gz	0440dddf82426fd355b1aa9d88773e65	253416	live
47bd5d86-a4a5-40d6-bd8e-43f043694b5c	3c8923de-0d68-4137-a5d9-657a77cac893.htseq.counts.gz	8900bd5b14816364c64cc79d550edca4	257387	live
47ce59d2-53e6-41f3-962f-19c11188c6c2	fa9d8ef2-0fd0-4fd8-8266-e4760b77d103.htseq.counts.gz	629ca74c508c661cc9b7c22bce23cb38	256060	live
4ede034d-9058-4750-9f83-6af2d3b62858	6b59b355-7581-426d-98c1-36e132a77c4e.htseq.counts.gz	8bc256a5842987ec885f7f94da8419e5	250992	live
61c78219-dcd8-4277-8ede-1cfb989e6afa	0c05d8f9-d045-4189-95b8-04d221600a83.htseq.counts.gz	7a2bec4785d418af3c1dec148a14ee0f	253632	live
6fe7b6c0-38be-4b13-98c5-074b8fee6f1c	555de98a-5925-41d0-8095-7ae42c480861.htseq.counts.gz	a54d2d5989cad460b4a31b036f358e58	253889	live
861cae5a-bbf1-4738-8371-f1c99993c213	15ea8c4e-2ee1-4aa4-89e5-6876e4b80381.htseq.counts.gz	73babb47363d259a536b06756a3e321d	251812	live
89d71267-35d4-4e87-961d-825dfd74d854	f790ef4c-71bf-43a7-a610-4006a4c0a42c.htseq.counts.gz	9d0375d93336886f6575a3e1a7e7056f	251648	live
8f8510f9-cbab-4651-8b18-8ddcb654a8ac	baa3cdc1-1ee8-4aab-80f9-dafa35cc5fbf.htseq.counts.gz	c9210496ded981ad264ad709eac40a63	254771	live
a703335c-54a6-43cb-bc75-f55f5a4db0f7	0ca5cc29-f48e-4533-a732-877e7bd2e73a.htseq.counts.gz	c6a7a5712a011c625020a9c1ecf077f0	253474	live
ac333fd4-b9ac-4861-b994-152c765068b3	1414d172-710a-4fb6-af82-f8b0c923b259.htseq.counts.gz	5562511d19149493c9392106c68cfac1	254043	live
b9cc9d9a-33a0-4bed-90a0-23b3840d74ed	d46b61b0-6f34-48ca-8c7d-23ae4d0b1a7c.htseq.counts.gz	925263308be8a9f95a91af22a86029ca	255666	live
bc03e189-ee0d-4fd7-b15c-aa66eb1e8bd3	f02c6de4-67f9-465e-bbc1-3d48ae377313.htseq.counts.gz	2d3f83a43322cd52f71a63a8deead305	251652	live
bca7ce38-ff1f-45ee-a411-db99ed142984	e8f5bbce-2f4b-4e79-a746-c374ffc57037.htseq.counts.gz	29829ef64a7262f79ae640a6eeb9742f	252127	live
bd11ea82-d346-449c-b63b-a9434062e9de	57e8b21e-eeb7-4f8e-a8b3-b6016bd37c96.htseq.counts.gz	288163918394a85bab334d64241d7940	253438	live
d6f3bd02-e0cb-45f5-bdd0-d39698d1461e	eab58571-a6f1-4bc4-aa01-0df9c4beb79f.htseq.counts.gz	e8119f8675649a4813ccbebad6e671d5	250555	live
dc39c2b2-4fd8-496d-bc2a-b25927aefaa1	87a1f0a2-5c97-4e4f-92f0-af2259c42be7.htseq.counts.gz	40a6e8020d0492513d9dbe337480418a	257601	live
e47ded12-ac91-4443-981a-94832d0b3593	b0ae2bb5-9b1b-47a3-abc7-76c02bf8a229.htseq.counts.gz	00277e1b474dc26ca28a56b42d43271a	255331	live
edebefbc-81da-41f4-ac86-d5f85a3f790c	698eba4b-b0f0-4923-9e43-d9707959c65f.htseq.counts.gz	d1244745d79a6d61eeeae7d3573cedf2	254214	live
eed6ce81-2d05-4e3c-bb74-a4601ba8c161	2c6a02ee-c88a-4e23-8915-6976b95386e3.htseq.counts.gz	18bf1b4be5d9fb2dde5921e1ad07049e	258278	live
f967f8a2-9c61-4b83-b704-5801db2bb965	a586e45b-1f76-4aac-9e12-a7302ebe4217.htseq.counts.gz	981767155a6e7319439a971be735c3c0	255204	live
